"year","id","province","prov_en","region","period","PC1","PC2","PC3","PC4"
2013,340000,"安徽省","Anhui","Central","Early(2013-2017)",-1.43449920915284,1.64982807992575,-2.34916007155221,-0.184405992353021
2014,340000,"安徽省","Anhui","Central","Early(2013-2017)",-0.669544130406971,0.85531108415825,-1.96215558752323,0.183078412038992
2015,340000,"安徽省","Anhui","Central","Early(2013-2017)",0.212601051022956,0.337293331958178,-1.48803262648539,0.591771729865985
2016,340000,"安徽省","Anhui","Central","Early(2013-2017)",0.733794149689531,0.160953885420018,-1.40183976066889,0.861802422082681
2017,340000,"安徽省","Anhui","Central","Early(2013-2017)",1.24560325228953,0.139581887509938,-0.884168258704293,0.791123071543775
2018,340000,"安徽省","Anhui","Central","Late(2018-2022)",1.84370243335063,-0.0247706474045667,-0.450351696907697,0.239372513178109
2019,340000,"安徽省","Anhui","Central","Late(2018-2022)",2.39334361912135,-0.425835187126634,-0.0538074117084344,0.180585165409774
2020,340000,"安徽省","Anhui","Central","Late(2018-2022)",2.80262146331085,-0.490840184816566,0.263754765255984,-0.129767922895939
2021,340000,"安徽省","Anhui","Central","Late(2018-2022)",2.70718467957798,-0.545639771450944,0.464969244283616,0.11556329032341
2022,340000,"安徽省","Anhui","Central","Late(2018-2022)",2.92682667399371,-0.446449067403771,1.14348990335231,-0.443197288833799
2013,110000,"北京市","Beijing","East","Early(2013-2017)",1.65464871952707,-3.22117523253893,-2.74564757724212,-0.431036786592686
2014,110000,"北京市","Beijing","East","Early(2013-2017)",2.17924364540009,-3.86327672336217,-2.45242784068998,-0.118429659234925
2015,110000,"北京市","Beijing","East","Early(2013-2017)",2.85327700600184,-4.58968794114927,-2.2451608595294,0.291902454046766
2016,110000,"北京市","Beijing","East","Early(2013-2017)",3.1428101527091,-4.8441169125256,-2.18618452127091,0.533718387633296
2017,110000,"北京市","Beijing","East","Early(2013-2017)",3.59464657050721,-5.20767259547999,-1.89058751830642,0.558630298436671
2018,110000,"北京市","Beijing","East","Late(2018-2022)",3.81246180130555,-5.66032656224044,-1.59245313435831,0.384626753346264
2019,110000,"北京市","Beijing","East","Late(2018-2022)",4.13631336616491,-5.93393504267048,-1.00144965795375,-0.011043582335604
2020,110000,"北京市","Beijing","East","Late(2018-2022)",4.32114796503253,-6.24400411071001,-0.778735458098523,-0.0149680138849927
2021,110000,"北京市","Beijing","East","Late(2018-2022)",4.32966945180445,-6.61866135133135,-0.719004391347664,0.228913791987611
2022,110000,"北京市","Beijing","East","Late(2018-2022)",4.53275107522887,-6.81467065934272,-0.411230999413553,0.023381343629291
2013,350000,"福建省","Fujian","East","Early(2013-2017)",-0.313131036042331,1.43121149078761,-2.59924520676873,-0.709237231516953
2014,350000,"福建省","Fujian","East","Early(2013-2017)",-0.00693557334756379,1.00433287376444,-2.01769358972364,-0.545188220955055
2015,350000,"福建省","Fujian","East","Early(2013-2017)",0.803140922436568,0.439224853322519,-1.55678207375493,-0.556192307506351
2016,350000,"福建省","Fujian","East","Early(2013-2017)",1.25333965423077,0.0862815112790346,-1.2952315021499,-0.521867012649238
2017,350000,"福建省","Fujian","East","Early(2013-2017)",1.78833241582416,-0.100102163975511,-0.901728694989607,-0.82658638866271
2018,350000,"福建省","Fujian","East","Late(2018-2022)",2.18920180319078,-0.149883279779682,-0.577498806247467,-1.26565315599732
2019,350000,"福建省","Fujian","East","Late(2018-2022)",2.39160931647353,-0.279101224430321,0.0399399493116335,-1.5697684938081
2020,350000,"福建省","Fujian","East","Late(2018-2022)",2.49385264654835,-0.589355626359683,0.508734963900413,-1.55546126586292
2021,350000,"福建省","Fujian","East","Late(2018-2022)",2.44703903013169,-0.845308135995172,0.598841875072107,-1.29180212455019
2022,350000,"福建省","Fujian","East","Late(2018-2022)",2.61483570474713,-0.721382928703579,1.08053043363958,-1.69187431474947
2013,620000,"甘肃省","Gansu","West","Early(2013-2017)",-4.71768311672195,2.08965657284835,-1.03454572220892,-0.13608426125654
2014,620000,"甘肃省","Gansu","West","Early(2013-2017)",-4.32300247041533,1.66477264408784,-1.01122829665746,0.0794433516371914
2015,620000,"甘肃省","Gansu","West","Early(2013-2017)",-3.77143993648989,0.973145612808865,-0.61104256619524,0.195530532624331
2016,620000,"甘肃省","Gansu","West","Early(2013-2017)",-3.55731262480632,0.538184195890051,-0.410687585742178,0.587769065293693
2017,620000,"甘肃省","Gansu","West","Early(2013-2017)",-3.24721405495211,0.676473622988977,0.095756973127539,0.0416658561764428
2018,620000,"甘肃省","Gansu","West","Late(2018-2022)",-2.70713025626793,0.406826418772233,0.45319353723375,-0.329627856624736
2019,620000,"甘肃省","Gansu","West","Late(2018-2022)",-2.29945194280585,0.0311501677546233,0.980226798997812,-0.697362696800225
2020,620000,"甘肃省","Gansu","West","Late(2018-2022)",-2.01078510511863,-0.13792357338159,1.23351528280344,-0.753994936437168
2021,620000,"甘肃省","Gansu","West","Late(2018-2022)",-2.32357894913307,-0.330145969517723,1.25672770975191,-0.253570096073559
2022,620000,"甘肃省","Gansu","West","Late(2018-2022)",-2.27701113899268,-0.132435811704697,1.73965577641745,-0.815055199208077
2013,440000,"广东省","Guangdong","East","Early(2013-2017)",4.8980672938785,1.81645310572021,-1.37840837666069,1.51582638638266
2014,440000,"广东省","Guangdong","East","Early(2013-2017)",5.63693387246592,1.75631067016015,-1.22608985154292,2.03791229035641
2015,440000,"广东省","Guangdong","East","Early(2013-2017)",6.21067372233,1.28431040173283,-0.490907582112141,2.08697642864692
2016,440000,"广东省","Guangdong","East","Early(2013-2017)",7.03892758534797,1.25108959085574,-0.107992988439848,2.45415943539394
2017,440000,"广东省","Guangdong","East","Early(2013-2017)",7.78633541620255,1.26446220123852,0.43403184517937,2.1877704556425
2018,440000,"广东省","Guangdong","East","Late(2018-2022)",8.72734710875193,1.23916982789654,1.18790066191199,2.03086941529118
2019,440000,"广东省","Guangdong","East","Late(2018-2022)",9.24420281903641,1.04066017569164,1.77785853735072,2.02741441401121
2020,440000,"广东省","Guangdong","East","Late(2018-2022)",9.49454426162246,0.744050347849266,2.17091793737148,1.80700461665521
2021,440000,"广东省","Guangdong","East","Late(2018-2022)",9.6474864997282,0.685443356952272,2.45449334216021,2.2096768447003
2022,440000,"广东省","Guangdong","East","Late(2018-2022)",9.9891026955949,0.722403336429863,3.1912484541259,1.98055802636485
2013,450000,"广西壮族自治区","Guangxi","West","Early(2013-2017)",-3.0875605455,1.94318946853201,-0.995261026343155,-0.388969456613146
2014,450000,"广西壮族自治区","Guangxi","West","Early(2013-2017)",-2.49828257610346,1.54581365980406,-0.475376853111029,-0.60088909222167
2015,450000,"广西壮族自治区","Guangxi","West","Early(2013-2017)",-2.02621359211643,1.40531016482509,0.991295950258589,-1.95188828071216
2016,450000,"广西壮族自治区","Guangxi","West","Early(2013-2017)",-1.61616313429198,0.977448890694351,1.32232743703906,-1.70216117298926
2017,450000,"广西壮族自治区","Guangxi","West","Early(2013-2017)",-1.24806207211265,1.1373276373457,1.33383992847327,-1.56955656111921
2018,450000,"广西壮族自治区","Guangxi","West","Late(2018-2022)",-0.581088524436349,0.789264213394292,1.54493751619249,-1.4378807418024
2019,450000,"广西壮族自治区","Guangxi","West","Late(2018-2022)",0.149716425748808,0.624185996136198,1.78355616333689,-1.53180357095618
2020,450000,"广西壮族自治区","Guangxi","West","Late(2018-2022)",0.785574459052569,0.269424822067852,1.9181814785592,-1.30435103482845
2021,450000,"广西壮族自治区","Guangxi","West","Late(2018-2022)",0.724937242056438,0.226269513103587,1.91180508241534,-0.850967481325241
2022,450000,"广西壮族自治区","Guangxi","West","Late(2018-2022)",0.964782498005583,0.371920047610582,2.19045808558238,-1.04418860645525
